Sequence Length,Hidden Size,Loss Vector,Accuracy
4,24,"[0.7189908027648926, 0.7077796459197998, 0.6963533759117126, 0.6944413185119629, 0.6939050555229187, 0.6936661601066589, 0.6944300532341003, 0.6932793259620667, 0.6932231783866882, 0.6933830976486206]",0.865
4,25,"[0.7196119427680969, 0.7009453177452087, 0.6957375407218933, 0.6946187615394592, 0.6937869191169739, 0.6934917569160461, 0.6932945251464844, 0.6933315396308899, 0.6934075355529785, 0.6931810975074768]",0.835
4,26,"[0.31843501329421997, 0.3168726861476898, 0.31369948387145996, 0.31367361545562744, 0.31344881653785706, 0.3133256137371063, 0.3133305013179779, 0.3132847547531128, 0.3133060932159424, 0.3132815957069397]",0.81
5,2,"[0.4962341785430908, 0.5186165571212769, 0.5353720784187317, 0.5488660335540771, 0.5679095983505249, 0.5877184867858887, 0.5951032638549805, 0.6172433495521545, 0.6281118392944336, 0.6519054174423218]",0.71
5,3,"[0.9244496822357178, 0.8414618968963623, 0.8128433227539062, 0.8076900243759155, 0.804646372795105, 0.7391800284385681, 0.7326017618179321, 0.7126268148422241, 0.6995384097099304, 0.7030023336410522]",0.84
5,4,"[0.44887667894363403, 0.5210372805595398, 0.5144580602645874, 0.48609036207199097, 0.4285702705383301, 0.3926306366920471, 0.3674508035182953, 0.38661181926727295, 0.32410308718681335, 0.33247867226600647]",0.84
5,5,"[0.8831101059913635, 0.8064942359924316, 0.7397951483726501, 0.7556684017181396, 0.7412272691726685, 0.7002925276756287, 0.7132543921470642, 0.721862256526947, 0.7002602815628052, 0.6972593069076538]",0.86
5,6,"[0.9351058602333069, 0.7960340976715088, 0.7282811403274536, 0.7233669757843018, 0.7006584405899048, 0.6978798508644104, 0.6997210383415222, 0.6961132287979126, 0.6950521469116211, 0.6941998600959778]",0.825
5,7,"[0.5164332389831543, 0.37096357345581055, 0.3381209671497345, 0.3482726812362671, 0.3212862014770508, 0.31790998578071594, 0.319976806640625, 0.31765857338905334, 0.31406378746032715, 0.3144380748271942]",0.88
5,8,"[0.8359169960021973, 0.7427183389663696, 0.7040173411369324, 0.6964332461357117, 0.6943202018737793, 0.6936854720115662, 0.6934968829154968, 0.6935369968414307, 0.6932735443115234, 0.6931880116462708]",0.895
