Sequence Length,Hidden Size,Loss Vector,Accuracy
600,22,"[0.6986000537872314, 0.693720817565918, 0.6932634711265564, 0.6931814551353455, 0.6931653022766113, 0.6931593418121338, 0.6931554675102234, 0.693152666091919, 0.6931515336036682, 0.6931514739990234]",0.825
600,24,"[0.7746509909629822, 0.7115994691848755, 0.704498827457428, 0.697001576423645, 0.6948345899581909, 0.6940918564796448, 0.6937536001205444, 0.6934645771980286, 0.6934674978256226, 0.6933295130729675]",0.79
800,2,"[0.5249057412147522, 0.4741559326648712, 0.4124261736869812, 0.37834542989730835, 0.35548388957977295, 0.333713561296463, 0.33675453066825867, 0.32308322191238403, 0.32285788655281067, 0.31836026906967163]",0.84
800,4,"[0.808243989944458, 0.7348476052284241, 0.7160376906394958, 0.7030101418495178, 0.7008271217346191, 0.6990479826927185, 0.6985033750534058, 0.6955573558807373, 0.6961075067520142, 0.6955029368400574]",0.885
800,6,"[0.7967410087585449, 0.8029673099517822, 0.7628586888313293, 0.7272363305091858, 0.7276472449302673, 0.7162249088287354, 0.7101417183876038, 0.7158132791519165, 0.7132706642150879, 0.7013738751411438]",0.865
800,8,"[0.3909741938114166, 0.3391594886779785, 0.3207615613937378, 0.3168187439441681, 0.3156331181526184, 0.314673513174057, 0.31378284096717834, 0.313980370759964, 0.3137800395488739, 0.3134448230266571]",0.85
800,10,"[0.39379069209098816, 0.37808433175086975, 0.32838550209999084, 0.32266098260879517, 0.3192131817340851, 0.3178258538246155, 0.3175250291824341, 0.31737852096557617, 0.31789281964302063, 0.31584784388542175]",0.835
800,12,"[0.6389938592910767, 0.6353978514671326, 0.6530590057373047, 0.6662092804908752, 0.6526390314102173, 0.6683193445205688, 0.6686250567436218, 0.6788918375968933, 0.6773810386657715, 0.6783195734024048]",0.855
800,14,"[0.7404360771179199, 0.7069469690322876, 0.6965553164482117, 0.6945288181304932, 0.6937365531921387, 0.693581223487854, 0.6934662461280823, 0.6934105157852173, 0.6933327913284302, 0.6935821175575256]",0.85
800,16,"[0.3572840988636017, 0.3369280993938446, 0.3232806622982025, 0.31950968503952026, 0.31872010231018066, 0.3178570568561554, 0.3166636526584625, 0.31589818000793457, 0.31757545471191406, 0.3208022117614746]",0.875
800,18,"[0.8505500555038452, 0.7916873693466187, 0.7378227710723877, 0.7227150201797485, 0.7217928171157837, 0.7301349639892578, 0.7675849199295044, 0.7068402171134949, 0.7133708596229553, 0.712171196937561]",0.875
800,20,"[0.4468733072280884, 0.4087395966053009, 0.38332417607307434, 0.36657288670539856, 0.36176151037216187, 0.3639717102050781, 0.31672435998916626, 0.34973573684692383, 0.31488096714019775, 0.3134216368198395]",0.88
800,22,"[0.35948634147644043, 0.34424224495887756, 0.32002925872802734, 0.3206097483634949, 0.3155818283557892, 0.3154635727405548, 0.3143164813518524, 0.3134692311286926, 0.31414321064949036, 0.31351348757743835]",0.9
800,24,"[0.3780147433280945, 0.329275518655777, 0.3210417628288269, 0.31758829951286316, 0.31495586037635803, 0.3145916163921356, 0.31453999876976013, 0.3150833249092102, 0.3148155212402344, 0.31500041484832764]",0.87
2000,2,"[0.43204739689826965, 0.4048992693424225, 0.37059497833251953, 0.34119662642478943, 0.33117443323135376, 0.32724857330322266, 0.3315269649028778, 0.31943830847740173, 0.31704702973365784, 0.31862807273864746]",0.85
2000,4,"[0.8034722805023193, 0.7406105399131775, 0.7222187519073486, 0.7152876853942871, 0.711870551109314, 0.7016698122024536, 0.6990156769752502, 0.6961613297462463, 0.7000954151153564, 0.6968658566474915]",0.835
2000,6,"[0.3898155689239502, 0.35043442249298096, 0.3374098837375641, 0.3282879590988159, 0.32162684202194214, 0.3210240304470062, 0.317425400018692, 0.31561025977134705, 0.3181508481502533, 0.31576716899871826]",0.845
2000,8,"[0.5117387771606445, 0.42158252000808716, 0.37330129742622375, 0.34019577503204346, 0.3494563102722168, 0.3247267007827759, 0.32052087783813477, 0.3214740455150604, 0.32219398021698, 0.31645405292510986]",0.875
2000,10,"[0.45901763439178467, 0.39617326855659485, 0.34014892578125, 0.32328730821609497, 0.32096540927886963, 0.3167632520198822, 0.3143027126789093, 0.31404778361320496, 0.31387168169021606, 0.3141055107116699]",0.875
2000,12,"[0.7490180134773254, 0.7326985597610474, 0.7228171229362488, 0.7163072228431702, 0.7197751402854919, 0.7034966945648193, 0.6987628936767578, 0.7037742137908936, 0.6987109184265137, 0.6978442668914795]",0.845
2000,14,"[0.4030553698539734, 0.3433379530906677, 0.3409060835838318, 0.3378807008266449, 0.3197169005870819, 0.31985750794410706, 0.3220974802970886, 0.3191480338573456, 0.3150272071361542, 0.3188150227069855]",0.85
2000,16,"[0.720017671585083, 0.7056017518043518, 0.6999802589416504, 0.6985204219818115, 0.7020015716552734, 0.6978222727775574, 0.6973546147346497, 0.6969931125640869, 0.6994355916976929, 0.6966751217842102]",0.885
2000,18,"[0.333244264125824, 0.3206552565097809, 0.3159046173095703, 0.31470414996147156, 0.31378528475761414, 0.313660204410553, 0.3133808672428131, 0.31342339515686035, 0.31330662965774536, 0.31341972947120667]",0.865
2000,20,"[0.4157460927963257, 0.3507096469402313, 0.32422617077827454, 0.32880884408950806, 0.3246408700942993, 0.32096827030181885, 0.32053646445274353, 0.3205576539039612, 0.3192233145236969, 0.31793662905693054]",0.855
2000,22,"[0.46802085638046265, 0.4919110834598541, 0.4018150269985199, 0.3582730293273926, 0.41942790150642395, 0.44767093658447266, 0.5988960862159729, 0.6052825450897217, 0.6173048615455627, 0.6386494636535645]",0.895
2000,24,"[0.4829401671886444, 0.42088979482650757, 0.370135098695755, 0.32717379927635193, 0.3262234926223755, 0.321359783411026, 0.3143317997455597, 0.31619200110435486, 0.31630825996398926, 0.31423914432525635]",0.85
4000,2,"[0.4312722086906433, 0.39476826786994934, 0.35426729917526245, 0.3514561653137207, 0.3367169201374054, 0.3459327220916748, 0.32594195008277893, 0.3239584267139435, 0.316912978887558, 0.32232508063316345]",0.855
4000,4,"[0.5589669346809387, 0.44722646474838257, 0.3765239417552948, 0.34753674268722534, 0.32854995131492615, 0.3251238763332367, 0.32265347242355347, 0.318636029958725, 0.3187175989151001, 0.31898149847984314]",0.84
4000,6,"[0.3855013847351074, 0.3445049822330475, 0.32909736037254333, 0.3229852020740509, 0.3228631317615509, 0.31706246733665466, 0.31718504428863525, 0.31480011343955994, 0.31457003951072693, 0.31487131118774414]",0.84
4000,8,"[0.397193968296051, 0.3326151669025421, 0.3262076675891876, 0.31587138772010803, 0.31582018733024597, 0.3146119713783264, 0.31404706835746765, 0.3145368695259094, 0.31402304768562317, 0.3139612078666687]",0.885
4000,10,"[0.3341980278491974, 0.3220915198326111, 0.3176014721393585, 0.3153936564922333, 0.31509774923324585, 0.3144698441028595, 0.31394100189208984, 0.3137463331222534, 0.31390389800071716, 0.3135727345943451]",0.88
4000,12,"[0.7500513792037964, 0.7189614772796631, 0.703021764755249, 0.699224591255188, 0.6972438097000122, 0.6945846676826477, 0.6950404047966003, 0.6958770751953125, 0.6952774524688721, 0.6949151158332825]",0.87
4000,14,"[0.8563657999038696, 0.7566705942153931, 0.7305132150650024, 0.7099514603614807, 0.7066908478736877, 0.7015379071235657, 0.6990448832511902, 0.6982241868972778, 0.6966069340705872, 0.6964788436889648]",0.845
4000,16,"[0.33467257022857666, 0.322270929813385, 0.3176761865615845, 0.3166579008102417, 0.3150413930416107, 0.3142382800579071, 0.3146226108074188, 0.3140212893486023, 0.3139636516571045, 0.31383413076400757]",0.84
4000,18,"[0.7052252888679504, 0.6943256855010986, 0.6933073401451111, 0.693256676197052, 0.6931892037391663, 0.6931635141372681, 0.6931601762771606, 0.6931557655334473, 0.6931523680686951, 0.693150520324707]",0.855
4000,20,"[0.34250664710998535, 0.32361268997192383, 0.3167710602283478, 0.3153080642223358, 0.3142911195755005, 0.3137013018131256, 0.3135038912296295, 0.6872687935829163, 0.3133813738822937, 0.3133247494697571]",0.88
4000,22,"[0.33403217792510986, 0.3208777904510498, 0.3164384067058563, 0.3154522776603699, 0.31565260887145996, 0.3144506812095642, 0.31514012813568115, 0.31426796317100525, 0.3150649666786194, 0.3140091896057129]",0.885
4000,24,"[0.3280845880508423, 0.3157544732093811, 0.3143044412136078, 0.31372517347335815, 0.31346485018730164, 0.31350162625312805, 0.3136633336544037, 0.3133315443992615, 0.3133969008922577, 0.3132883310317993]",0.835
6000,2,"[0.8574389815330505, 0.7568119168281555, 0.7237516045570374, 0.7054088711738586, 0.6991621851921082, 0.6982085108757019, 0.6958519816398621, 0.6972304582595825, 0.6947458386421204, 0.6955434679985046]",0.865
6000,4,"[0.5355409383773804, 0.35740211606025696, 0.33398720622062683, 0.3256113827228546, 0.3197561204433441, 0.320697546005249, 0.3171781003475189, 0.3154798448085785, 0.31446585059165955, 0.3144502639770508]",0.88
6000,6,"[0.45897799730300903, 0.34562423825263977, 0.3256482183933258, 0.3226938545703888, 0.3185364305973053, 0.32075220346450806, 0.31596431136131287, 0.3161167502403259, 0.31534773111343384, 0.3147316575050354]",0.87
6000,8,"[0.8787562251091003, 0.9082819223403931, 0.9154754281044006, 0.9493758082389832, 1.0673553943634033, 1.0603054761886597, 1.096482515335083, 1.0725058317184448, 0.9964194893836975, 1.0530452728271484]",0.875
6000,10,"[0.3755117356777191, 0.33065861463546753, 0.3202628493309021, 0.31817322969436646, 0.3151896297931671, 0.3141753375530243, 0.31384921073913574, 0.3142631947994232, 0.3134034276008606, 0.31347182393074036]",0.875
6000,12,"[0.9269507527351379, 1.1900348663330078, 1.2681708335876465, 1.279710292816162, 1.2978875637054443, 1.3056706190109253, 1.298638105392456, 1.3055446147918701, 1.3079633712768555, 1.3112355470657349]",0.855
6000,14,"[0.8689891695976257, 0.8064988851547241, 0.7677969932556152, 0.7481071949005127, 0.7192609310150146, 0.7254681587219238, 0.7173777222633362, 0.7080597877502441, 0.699848473072052, 0.7099536061286926]",0.91
