Sequence Length,Hidden Size,Loss Vector,Accuracy
800,10,"[0.33119720220565796, 0.31696784496307373, 0.3153786063194275, 0.3139457106590271, 0.31431010365486145, 0.31409862637519836, 0.3135465979576111, 0.31341901421546936, 0.3133777379989624, 0.3134387135505676]",1.0
800,12,"[0.35182708501815796, 0.3178400695323944, 0.315051406621933, 0.31413188576698303, 0.3137829303741455, 0.3135148584842682, 0.3135148584842682, 0.31345656514167786, 0.31332212686538696, 0.31330418586730957]",1.0
800,14,"[0.8006058931350708, 0.6962636709213257, 0.7026882171630859, 0.6957065463066101, 0.6944314241409302, 0.6938263177871704, 0.6934321522712708, 0.6935710310935974, 0.6933011412620544, 0.6932173371315002]",1.0
800,16,"[0.7036198377609253, 0.6960688829421997, 0.6945115327835083, 0.693705677986145, 0.6935804486274719, 0.6933537721633911, 0.6932885646820068, 0.693242609500885, 0.6932483911514282, 0.6931917667388916]",1.0
800,18,"[0.4197481572628021, 0.31606972217559814, 0.31454184651374817, 0.3141201436519623, 0.31409749388694763, 0.3135206997394562, 0.6930068731307983, 0.6930750012397766, 0.6931020021438599, 0.6930581331253052]",0.53
800,20,"[0.31819212436676025, 0.3144209384918213, 0.313734233379364, 0.3135794401168823, 0.3133908808231354, 0.31333422660827637, 0.31356680393218994, 0.313389390707016, 0.3133470416069031, 0.31330442428588867]",1.0
800,22,"[0.331216037273407, 0.3322491943836212, 0.3387741446495056, 0.3467874825000763, 0.32907018065452576, 0.6931074857711792, 0.690744936466217, 0.4960375428199768, 0.3196629583835602, 0.32669928669929504]",0.955
800,24,"[0.6961413025856018, 0.6949417591094971, 0.6955630779266357, 0.695495069026947, 0.7102344632148743, 0.6940035223960876, 0.6933756470680237, 0.6932945251464844, 0.6932910084724426, 0.6932315230369568]",0.535
2000,2,"[0.6124804615974426, 0.5542500615119934, 0.42565643787384033, 0.36742621660232544, 0.35191312432289124, 0.3476879894733429, 0.34968581795692444, 0.3471915125846863, 0.3402000069618225, 0.35723623633384705]",0.94
2000,4,"[0.7853586077690125, 0.7112298011779785, 0.6964834332466125, 0.6949166059494019, 0.6939089894294739, 0.6938718557357788, 0.6934742331504822, 0.693485677242279, 0.6932811737060547, 0.6932416558265686]",0.975
2000,6,"[0.9482594728469849, 0.7179962396621704, 0.7031226754188538, 0.6974977850914001, 0.6971109509468079, 0.6945040822029114, 0.6942167282104492, 0.6935440301895142, 0.6935354471206665, 0.6937912702560425]",0.99
