Sequence Length,Hidden Size,Loss Vector,Accuracy
20,11,"[0.7993123531341553, 0.75501948595047, 0.7291842699050903, 0.7174354195594788, 0.711174726486206, 0.7075753808021545, 0.7042357921600342, 0.7002152800559998, 0.6998661756515503, 0.6996227502822876]",0.47
20,14,"[0.7704721689224243, 0.7740611433982849, 0.7595099210739136, 0.7510660290718079, 0.7175540924072266, 0.7095882296562195, 0.7103412747383118, 0.706970751285553, 0.6994885206222534, 0.7031675577163696]",0.61
20,17,"[0.7817746996879578, 0.7218756079673767, 0.7058719396591187, 0.696829080581665, 0.6950303316116333, 0.6945810914039612, 0.6934196352958679, 0.6935665011405945, 0.6932811737060547, 0.6933180093765259]",0.515
20,20,"[0.7742094397544861, 0.722292423248291, 0.7727268934249878, 0.7289833426475525, 0.7262164950370789, 0.730299711227417, 0.7218066453933716, 0.6963053345680237, 0.697996199131012, 0.7419780492782593]",0.54
20,23,"[0.9615012407302856, 0.7545954585075378, 0.697422981262207, 0.6948727965354919, 0.707206130027771, 0.7029101252555847, 0.6951382160186768, 0.6942963004112244, 0.6945668458938599, 0.6941734552383423]",0.545
20,26,"[0.6159165501594543, 0.6713576316833496, 0.672791600227356, 0.584842324256897, 0.45857441425323486, 0.6873006224632263, 0.39681100845336914, 0.5995420217514038, 0.48576733469963074, 0.41594603657722473]",0.7
23,2,"[0.5090035200119019, 0.5384945869445801, 0.530745267868042, 0.5299983620643616, 0.5741063952445984, 0.559836745262146, 0.6024958491325378, 0.5980361104011536, 0.5686646699905396, 0.6076769828796387]",0.655
23,5,"[0.8322985172271729, 0.7773678302764893, 0.7771721482276917, 0.7546110153198242, 0.7483910322189331, 0.7380067110061646, 0.7218418121337891, 0.7164151072502136, 0.7094391584396362, 0.7156339883804321]",0.65
23,8,"[0.5861905813217163, 0.503997266292572, 0.39714837074279785, 0.37818869948387146, 0.35860198736190796, 0.3409905731678009, 0.34166499972343445, 0.34391748905181885, 0.3350859582424164, 0.3387383818626404]",0.625
23,11,"[0.5409694910049438, 0.5744562745094299, 0.5362531542778015, 0.6133632659912109, 0.5038862228393555, 0.48059284687042236, 0.40308699011802673, 0.350101113319397, 0.40863311290740967, 0.3571280539035797]",0.755
23,14,"[0.49881529808044434, 0.4390490651130676, 0.37901079654693604, 0.3462895452976227, 0.33866217732429504, 0.5405590534210205, 0.3325515687465668, 0.3587346374988556, 0.3279799818992615, 0.3585262596607208]",0.715
23,17,"[0.516730785369873, 0.4763016402721405, 0.51312255859375, 0.43035829067230225, 0.4040600657463074, 0.38435494899749756, 0.5153110027313232, 0.4496583938598633, 0.587260901927948, 0.3983014225959778]",0.715
23,20,"[0.7306371331214905, 0.6979463696479797, 0.6941964626312256, 0.6934244632720947, 0.6932522058486938, 0.6933189630508423, 0.6931865811347961, 0.6931749582290649, 0.6931553483009338, 0.693156361579895]",0.485
23,23,"[0.393891841173172, 0.41480347514152527, 0.3553069233894348, 0.3435206115245819, 0.34830978512763977, 0.3620738685131073, 0.6930250525474548, 0.6930125951766968, 0.4277999997138977, 0.3198281526565552]",0.765
23,26,"[0.7765651941299438, 0.7159485220909119, 0.7006976008415222, 0.6956607103347778, 0.6940828561782837, 0.6936302185058594, 0.6933857798576355, 0.6977421641349792, 0.6950005888938904, 0.694749116897583]",0.705
26,2,"[0.5381150245666504, 0.4917064309120178, 0.45634061098098755, 0.42491424083709717, 0.372296005487442, 0.3667925000190735, 0.3547779321670532, 0.34612950682640076, 0.3339916169643402, 0.3428078293800354]",0.785
26,5,"[0.5034950971603394, 0.5190345048904419, 0.5433105230331421, 0.5650434494018555, 0.6062930822372437, 0.6041621565818787, 0.6071351170539856, 0.6508485674858093, 0.636017918586731, 0.6628793478012085]",0.765
26,8,"[0.6561933755874634, 0.6856430172920227, 0.6896655559539795, 0.69099360704422, 0.6919525861740112, 0.6925918459892273, 0.6928585171699524, 0.6927545666694641, 0.6927801966667175, 0.6928185224533081]",0.755
26,11,"[0.8591151237487793, 0.7555670738220215, 0.7495702505111694, 0.747191846370697, 0.7437598705291748, 0.7557477951049805, 0.7093289494514465, 0.7010915875434875, 0.6962270736694336, 0.6987922191619873]",0.75
26,14,"[0.7121405601501465, 0.6978206634521484, 0.6944547891616821, 0.6935732960700989, 0.6933487057685852, 0.6932564973831177, 0.693212628364563, 0.6931842565536499, 0.6931854486465454, 0.6931910514831543]",0.52
26,17,"[0.6406002044677734, 0.6853030323982239, 0.6876999139785767, 0.6897392868995667, 0.6921758651733398, 0.6928538680076599, 0.692546010017395, 0.6923533082008362, 0.6927069425582886, 0.692603349685669]",0.79
26,20,"[0.883903980255127, 1.0541621446609497, 0.7087348699569702, 0.6978186964988708, 0.6946439146995544, 0.701261579990387, 0.7008944749832153, 0.6959644556045532, 0.6966646313667297, 0.6960529088973999]",0.755
26,23,"[0.351197749376297, 0.3299272954463959, 0.32176053524017334, 0.31937283277511597, 0.3145243227481842, 0.3136924207210541, 0.31375548243522644, 0.31344369053840637, 0.3141152560710907, 0.3134632110595703]",0.75
26,26,"[0.7127805948257446, 0.7011670470237732, 1.2395391464233398, 1.249243140220642, 1.2700567245483398, 1.2946778535842896, 1.3058340549468994, 1.3090988397598267, 1.309363603591919, 1.296619176864624]",0.69
