Sequence Length,Hidden Size,Loss Vector,Accuracy
80,16,"[0.32358482480049133, 0.31566834449768066, 0.6887466907501221, 0.3154703378677368, 0.3140615224838257, 0.31348490715026855, 0.31383615732192993, 0.3136017322540283, 0.3135313391685486, 0.3133986294269562]",1.0
80,18,"[0.316666841506958, 0.31603845953941345, 0.6924798488616943, 0.6919373273849487, 0.6923971176147461, 0.6917356252670288, 0.6889248490333557, 0.3141331076622009, 0.31353759765625, 0.3539811968803406]",0.995
80,20,"[0.3204629123210907, 0.3162229359149933, 0.6866824626922607, 0.31445661187171936, 0.31370416283607483, 0.3135267198085785, 0.6930602788925171, 0.6929891109466553, 0.6928957104682922, 0.31359928846359253]",0.995
80,22,"[0.31812334060668945, 0.31561094522476196, 0.315859854221344, 0.31387534737586975, 0.3137688934803009, 0.3133740723133087, 0.31342512369155884, 0.3133668303489685, 0.3133288323879242, 0.31331750750541687]",1.0
80,24,"[0.32603919506073, 0.31530389189720154, 0.6919233202934265, 0.6921010613441467, 0.6918935179710388, 0.691425621509552, 0.31534260511398315, 0.3137933015823364, 0.3142744302749634, 0.3135075569152832]",1.0
200,2,"[0.4419611990451813, 0.4015662968158722, 0.3917480707168579, 0.372660368680954, 0.3482215106487274, 0.3439302444458008, 0.33177268505096436, 0.32808318734169006, 0.33086150884628296, 0.3288237750530243]",0.92
200,4,"[1.077966332435608, 0.9565584659576416, 0.730434238910675, 0.7210121154785156, 0.7014031410217285, 0.6977134346961975, 0.6963723301887512, 0.6939926743507385, 0.6939108371734619, 0.6936334371566772]",0.995
200,6,"[0.7662590146064758, 0.7113519906997681, 0.6998335719108582, 0.6960848569869995, 0.6945772767066956, 0.6937223672866821, 0.6935669183731079, 0.6934122443199158, 0.6932603716850281, 0.6932787895202637]",1.0
200,8,"[0.7291494011878967, 0.6982401013374329, 0.6965100765228271, 0.6942425966262817, 0.6938061714172363, 0.6934959292411804, 0.6934024095535278, 0.6933484673500061, 0.6932162046432495, 0.6932364106178284]",1.0
200,10,"[0.3560218811035156, 0.31969645619392395, 0.3161710500717163, 0.31517013907432556, 0.31451597809791565, 0.3142511546611786, 0.31366053223609924, 0.3135298490524292, 0.3136283755302429, 0.3134104907512665]",1.0
200,12,"[0.7174924612045288, 0.6984376907348633, 0.6954212188720703, 0.6943660378456116, 0.6939228773117065, 0.6935776472091675, 0.6933035254478455, 0.6934466361999512, 0.6932082176208496, 0.6932647228240967]",0.995
200,14,"[0.7243044376373291, 0.6950759887695312, 0.6937851905822754, 0.6937252283096313, 0.6934046149253845, 0.6932870149612427, 0.6932108402252197, 0.693184494972229, 0.693183422088623, 0.6931608319282532]",1.0
200,16,"[1.299835443496704, 0.6973186731338501, 1.3115272521972656, 0.69513338804245, 0.6942572593688965, 0.6935364603996277, 0.6934022903442383, 0.6932526230812073, 0.6932821869850159, 0.6931950449943542]",1.0
200,18,"[0.7274052500724792, 0.6973750591278076, 0.6944774389266968, 0.6938657164573669, 0.6936670541763306, 0.6934212446212769, 0.6932975649833679, 0.6932834982872009, 0.6931917667388916, 0.6931703090667725]",1.0
200,20,"[0.3234383761882782, 0.31618645787239075, 0.3140791952610016, 0.3137595057487488, 0.3134411573410034, 0.31370460987091064, 0.3138514757156372, 0.3138289153575897, 0.6930935382843018, 0.6930932998657227]",0.525
200,22,"[0.6985976696014404, 0.6967979669570923, 0.7059069871902466, 0.6940944194793701, 0.6935014724731445, 0.693397581577301, 0.6934202909469604, 0.6934778094291687, 0.6935310959815979, 0.6971850991249084]",0.985
200,24,"[0.31674909591674805, 0.3163180947303772, 0.3148498833179474, 0.31394875049591064, 0.693062961101532, 0.6930761337280273, 0.6931062936782837, 0.6931102275848389, 0.6931263208389282, 0.6931393146514893]",0.47
400,2,"[0.8360440731048584, 0.7593407034873962, 0.729442834854126, 0.7272495031356812, 0.7086638808250427, 0.7073020339012146, 0.700739324092865, 0.7042284607887268, 0.6982832551002502, 0.6961382627487183]",0.925
400,4,"[0.4624910354614258, 0.408180832862854, 0.3643200695514679, 0.3366268277168274, 0.33203214406967163, 0.3225853443145752, 0.31979838013648987, 0.31797313690185547, 0.3148588538169861, 0.3136349320411682]",1.0
400,6,"[0.7387463450431824, 0.7053484320640564, 0.6971725821495056, 0.6976722478866577, 0.6943429112434387, 0.6941399574279785, 0.6939079165458679, 0.6934202313423157, 0.6933631300926208, 0.693369448184967]",1.0
400,8,"[0.394146591424942, 0.37182632088661194, 0.34843161702156067, 0.3244006335735321, 0.3202763497829437, 0.3152214586734772, 0.31442561745643616, 0.31414973735809326, 0.3136230707168579, 0.3137252628803253]",1.0
400,10,"[0.8908841609954834, 0.7007520198822021, 0.6953612565994263, 0.6943728923797607, 0.6935991048812866, 0.6934426426887512, 0.6934269666671753, 0.6936371922492981, 0.6932544708251953, 0.6932457685470581]",1.0
400,12,"[0.3422645628452301, 0.3184908330440521, 0.31539633870124817, 0.31523892283439636, 0.3138778507709503, 0.6925380825996399, 0.3135863244533539, 0.31358692049980164, 0.31341439485549927, 0.313361793756485]",1.0
400,14,"[0.32252800464630127, 0.3160070776939392, 0.31430184841156006, 0.31512516736984253, 0.3145514130592346, 0.31390243768692017, 0.31373605132102966, 0.3135092854499817, 0.3133808672428131, 0.3133721351623535]",1.0
400,16,"[0.3263399600982666, 0.31611987948417664, 0.3147185742855072, 0.3144354820251465, 0.31405630707740784, 0.3137706518173218, 0.6927279233932495, 0.6928371787071228, 0.6927654147148132, 0.6919609308242798]",0.51
400,18,"[1.1476958990097046, 0.6995115876197815, 0.6942142844200134, 0.6974461078643799, 0.6988062858581543, 0.6991704702377319, 0.6957775950431824, 0.6997266411781311, 0.7011486887931824, 0.8163567185401917]",0.97
400,20,"[0.31808024644851685, 0.3144245743751526, 0.31398001313209534, 0.3141203820705414, 0.31350022554397583, 0.31343957781791687, 0.31334295868873596, 0.31329965591430664, 0.31327855587005615, 0.31327933073043823]",0.86
400,22,"[0.7051681876182556, 1.308735728263855, 0.6940726637840271, 0.6936976313591003, 0.6933661699295044, 0.6933377981185913, 0.6932276487350464, 0.6931738257408142, 0.6931929588317871, 0.6931706666946411]",1.0
400,24,"[0.7151845693588257, 0.6955306529998779, 0.6945188045501709, 1.3126903772354126, 1.3128230571746826, 1.3131359815597534, 1.3131544589996338, 1.3131743669509888, 1.313202142715454, 1.3132014274597168]",0.865
600,2,"[0.9356096982955933, 0.854073703289032, 0.8472105860710144, 0.7944679260253906, 0.7656658291816711, 0.7442542314529419, 0.7346081137657166, 0.7180683016777039, 0.7090843319892883, 0.7143009305000305]",0.855
600,4,"[0.8760672807693481, 0.8534328937530518, 0.7473714351654053, 0.7078505754470825, 0.7025052905082703, 0.6993279457092285, 0.694236695766449, 0.6937583088874817, 0.6934539675712585, 0.6932733058929443]",0.985
600,6,"[0.33967509865760803, 0.3207785189151764, 0.31801190972328186, 0.3178091049194336, 0.3152550160884857, 0.3178550899028778, 0.31492453813552856, 0.31418779492378235, 0.31489643454551697, 0.3142891228199005]",1.0
