Sequence Length,Hidden Size,Loss Vector,Accuracy
2,12,"[0.350424200296402, 0.32447028160095215, 0.3231617510318756, 0.3168156147003174, 0.3147788941860199, 0.31403976678848267, 0.31370043754577637, 0.3135223686695099, 0.31342145800590515, 0.31336161494255066]",0.84
2,13,"[0.7224780321121216, 0.7005506753921509, 0.696471095085144, 0.6945965886116028, 0.693697452545166, 0.6933942437171936, 0.693269670009613, 0.6932116150856018, 0.6931825876235962, 0.6931670904159546]",0.86
2,14,"[0.35738852620124817, 0.33436596393585205, 0.3175433278083801, 0.31473687291145325, 0.3139375150203705, 0.3136187195777893, 0.31346574425697327, 0.3133839964866638, 0.31333720684051514, 0.3133092224597931]",0.84
2,15,"[0.3504577875137329, 0.33610695600509644, 0.32048335671424866, 0.31526920199394226, 0.3141254484653473, 0.3137114942073822, 0.3135196566581726, 0.31341755390167236, 0.31335872411727905, 0.3133232593536377]",0.805
2,16,"[1.2896981239318848, 1.30710768699646, 1.3105415105819702, 1.3118120431900024, 1.3124144077301025, 1.312739610671997, 1.3129295110702515, 1.3130457401275635, 1.3131194114685059, 1.313166856765747]",0.78
2,17,"[0.7332542538642883, 0.701444149017334, 0.696566641330719, 0.6946926116943359, 0.6936052441596985, 0.6933333277702332, 0.6932347416877747, 0.6931915879249573, 0.6931708455085754, 0.6931601166725159]",0.85
2,18,"[0.33408910036087036, 0.32103797793388367, 0.3294644355773926, 0.31544607877731323, 0.3140506446361542, 0.3136436343193054, 0.3134726881980896, 0.31338661909103394, 0.31333860754966736, 0.31331008672714233]",0.86
2,19,"[0.3415604829788208, 0.3490782678127289, 0.3297556936740875, 0.3206074833869934, 0.31700074672698975, 0.3153284192085266, 0.3144634962081909, 0.31398385763168335, 0.31370556354522705, 0.31353890895843506]",0.84
2,20,"[0.3245816230773926, 0.3163992166519165, 0.31489914655685425, 0.3146364390850067, 0.32219743728637695, 0.31631606817245483, 0.3147163391113281, 0.3140455186367035, 0.3137117624282837, 0.3135300278663635]",0.82
2,21,"[0.7258842587471008, 0.7038745880126953, 0.6980152726173401, 0.6956954002380371, 0.694599449634552, 0.6940175890922546, 0.6936852931976318, 0.6934866309165955, 0.6933642625808716, 0.6932872533798218]",0.83
2,22,"[0.32454773783683777, 0.3160388767719269, 0.31449422240257263, 0.3139232397079468, 0.31365078687667847, 0.31350329518318176, 0.3134176433086395, 0.3133658766746521, 0.3133341670036316, 0.3133156895637512]",0.815
2,23,"[1.2700202465057373, 1.2885313034057617, 1.254217505455017, 1.2911008596420288, 1.3022445440292358, 1.3072460889816284, 1.3097984790802002, 1.3111982345581055, 1.312003254890442, 1.3124817609786987]",0.84
2,24,"[0.7115183472633362, 0.6965795755386353, 0.6936495900154114, 0.6932330131530762, 0.6931729912757874, 0.6931571364402771, 0.693151593208313, 0.6931492686271667, 0.6931481957435608, 0.6931476593017578]",0.85
2,25,"[0.7128143906593323, 0.6963937878608704, 0.6939378380775452, 0.6934248805046082, 0.6932651400566101, 0.6932030320167542, 0.6931755542755127, 0.6931621432304382, 0.6931553483009338, 0.6931517124176025]",0.815
