Sequence Length,Hidden Size,Loss Vector,Accuracy
23,5,"[0.9034051299095154, 0.9417940378189087, 0.9811103940010071, 1.0251412391662598, 1.0633938312530518, 1.093430757522583, 1.1160218715667725, 1.132315754890442, 1.1434357166290283, 1.150500774383545]",0.695
23,8,"[0.7615612745285034, 0.7180929780006409, 0.7021925449371338, 0.697185754776001, 0.6952610611915588, 0.694373607635498, 0.6939140558242798, 0.693656325340271, 0.6935023069381714, 0.6934052109718323]",0.695
23,11,"[0.7571098208427429, 0.716050386428833, 0.7019972205162048, 0.6990932822227478, 0.7122014164924622, 0.716395914554596, 0.7067830562591553, 0.7023319602012634, 0.700236976146698, 0.6990219950675964]",0.725
23,14,"[0.4509132206439972, 0.350131094455719, 0.33422908186912537, 0.3280249834060669, 0.3238019049167633, 0.321010559797287, 0.31830841302871704, 0.3166496455669403, 0.31571900844573975, 0.31520718336105347]",0.675
23,17,"[0.7325745820999146, 0.7013271450996399, 0.6963873505592346, 0.695717453956604, 0.6942287683486938, 0.6937135457992554, 0.6934816837310791, 0.6933530569076538, 0.6932886838912964, 0.6932329535484314]",0.47
23,20,"[0.7935943603515625, 0.7550409436225891, 0.730909526348114, 0.7315261363983154, 0.7600387930870056, 0.7404983639717102, 0.735334038734436, 0.6943064332008362, 0.7206730246543884, 0.7210227251052856]",0.665
23,23,"[0.7728019952774048, 0.73702073097229, 0.7090159058570862, 0.6973490118980408, 0.694998562335968, 0.69431471824646, 0.6935219764709473, 0.6933920383453369, 0.695198118686676, 0.6948539018630981]",0.63
23,26,"[0.554844081401825, 0.4311881959438324, 0.38530969619750977, 0.4002632796764374, 0.6696337461471558, 0.40270766615867615, 0.40351197123527527, 0.3737472593784332, 0.3765428364276886, 0.6924320459365845]",0.54
26,2,"[0.9512476921081543, 0.8834307193756104, 0.8341430425643921, 0.8030085563659668, 0.781960666179657, 0.7667824029922485, 0.755315899848938, 0.7463582754135132, 0.7391846179962158, 0.7333288192749023]",0.44
26,5,"[0.5709189176559448, 0.642974853515625, 0.6738074421882629, 0.6842080354690552, 0.6884005069732666, 0.6903426647186279, 0.6913402676582336, 0.6918954253196716, 0.6922246217727661, 0.6924303770065308]",0.73
26,8,"[0.5923159718513489, 0.6346352100372314, 0.6564582586288452, 0.6688594818115234, 0.6764687895774841, 0.6806338429450989, 0.6789431571960449, 0.6637691259384155, 0.6554574966430664, 0.5870887637138367]",0.785
26,11,"[0.7458615899085999, 0.701022207736969, 0.6958819031715393, 0.6944192051887512, 0.693819522857666, 0.6935346126556396, 0.6933850646018982, 0.6933000087738037, 0.6932486295700073, 0.6932163238525391]",0.74
26,14,"[0.4638335108757019, 0.4640970826148987, 0.45512592792510986, 0.4531879127025604, 0.45762670040130615, 0.4667346477508545, 0.4794256091117859, 0.49536454677581787, 0.5130826234817505, 0.528485119342804]",0.75
26,17,"[0.7677607536315918, 0.7055069804191589, 0.6964860558509827, 0.6941848397254944, 0.6935566663742065, 0.6933431625366211, 0.6931962966918945, 0.693427324295044, 0.6931982040405273, 0.6931647062301636]",0.8
26,20,"[0.5091399550437927, 0.6009545922279358, 0.40777096152305603, 0.6830145120620728, 0.33542704582214355, 0.33776965737342834, 0.6510555744171143, 0.33763375878334045, 0.3273448944091797, 0.3235487937927246]",0.795
26,23,"[0.8367136120796204, 0.7259789705276489, 0.9649038910865784, 1.0116469860076904, 0.7113369703292847, 0.735112190246582, 0.9402031898498535, 0.8757189512252808, 0.8326330780982971, 0.8149300813674927]",0.705
26,26,"[0.898989200592041, 0.7604235410690308, 0.7397822141647339, 0.7195443511009216, 0.7042317390441895, 0.7059801816940308, 0.7133046984672546, 0.719642162322998, 0.7309831976890564, 0.7306380271911621]",0.705
