Scale Factor,Sequence Length,Hidden Size,Loss Vector,Accuracy
1,40,8,"[0.7920712232589722, 0.7690027952194214, 0.7452431917190552, 0.7260622978210449, 0.7107868194580078, 0.7003311514854431, 0.6961045861244202, 0.6948011517524719, 0.694426417350769, 0.6940426826477051]",0.695
1,40,16,"[0.748034656047821, 0.7239071130752563, 0.7163379788398743, 0.7192150354385376, 0.7005943059921265, 0.6968399882316589, 0.6952223181724548, 0.6943913102149963, 0.6940960884094238, 0.6937873959541321]",0.575
1,40,32,"[0.7108225226402283, 0.70329350233078, 0.7009219527244568, 0.6991186141967773, 0.6980277895927429, 0.697054386138916, 0.6971514821052551, 0.6957065463066101, 0.6951479911804199, 0.6995871067047119]",0.545
1,80,2,"[0.5613881945610046, 0.5702098608016968, 0.5709563493728638, 0.5739389657974243, 0.5591001510620117, 0.5484862923622131, 0.5329056978225708, 0.5175995826721191, 0.5650700926780701, 0.5637232065200806]",0.595
1,80,4,"[0.8443502187728882, 0.7947134971618652, 0.7697991728782654, 0.7598856687545776, 0.7624312043190002, 0.7467213869094849, 0.7333343029022217, 0.7327598333358765, 0.7230978608131409, 0.7110136151313782]",0.815
1,80,8,"[0.7961634397506714, 0.7878522872924805, 0.7498384118080139, 0.7403297424316406, 0.9883725047111511, 0.8146247863769531, 0.9112398624420166, 0.7930246591567993, 0.7579978704452515, 0.9841248393058777]",0.365
1,80,16,"[0.64610755443573, 0.6650963425636292, 0.6663177609443665, 0.6741853356361389, 0.678516685962677, 0.6816145777702332, 0.6832504272460938, 0.6253756880760193, 0.638403594493866, 0.6542754769325256]",0.5
1,80,32,"[0.6593106389045715, 0.655120849609375, 0.6239496469497681, 0.6519189476966858, 0.3229636251926422, 0.6498326063156128, 0.6667925119400024, 0.6689743399620056, 0.355130672454834, 0.3582898676395416]",0.72
1,160,2,"[0.5308190584182739, 0.5712659955024719, 0.5945520997047424, 0.6102344989776611, 0.6217796802520752, 0.6321792602539062, 0.6427644491195679, 0.6516218781471252, 0.6596671938896179, 0.665588915348053]",0.59
1,160,4,"[0.5619761943817139, 0.599616289138794, 0.6160656809806824, 0.6222780346870422, 0.40654227137565613, 0.5659604072570801, 0.5765348672866821, 0.48493337631225586, 0.5428788661956787, 0.5712732076644897]",0.565
