Scale Factor,Sequence Length,Hidden Size,Loss Vector,Accuracy
3,40,4,"[0.9057869911193848, 0.8489590883255005, 0.7222439050674438, 0.7451981902122498, 0.7260591983795166, 0.7118974924087524, 0.6989458799362183, 0.6976630091667175, 0.6964025497436523, 0.6955066919326782]",1.0
3,40,8,"[0.7451814413070679, 0.7080873847007751, 0.6972076296806335, 0.696343719959259, 0.6947594285011292, 0.6941392421722412, 0.6937834620475769, 0.6934995651245117, 0.6933791041374207, 0.6933042407035828]",0.99
3,40,16,"[0.3470386862754822, 0.3190522789955139, 0.3157949149608612, 0.31480178236961365, 0.31416255235671997, 0.31401634216308594, 0.3139568567276001, 0.31383439898490906, 0.3137127161026001, 0.31350788474082947]",1.0
3,40,32,"[0.6978150010108948, 0.6939737796783447, 0.6939801573753357, 0.7402061820030212, 0.6934552192687988, 0.6932439208030701, 0.693202018737793, 0.6932438015937805, 0.693168044090271, 0.6931620836257935]",0.48
3,80,2,"[0.9074279069900513, 0.8255823254585266, 0.7853451371192932, 0.7617166042327881, 0.7458198070526123, 0.7381677031517029, 0.7311705350875854, 0.725593090057373, 0.7210791707038879, 0.7171775102615356]",0.6
3,80,4,"[0.982364296913147, 0.7514120936393738, 0.7179768085479736, 0.7079495191574097, 0.7037795186042786, 0.7002080678939819, 0.6966491341590881, 0.6958392858505249, 0.694637656211853, 0.6943386197090149]",1.0
3,80,8,"[0.7788032293319702, 0.7041952013969421, 0.6974916458129883, 0.701005220413208, 0.6935091018676758, 0.6932908892631531, 0.6932005286216736, 0.6931726932525635, 0.6931579113006592, 0.6938660740852356]",0.995
3,80,16,"[0.3772578835487366, 0.373512864112854, 0.3188716173171997, 0.32048436999320984, 0.315662682056427, 0.31634804606437683, 0.31406405568122864, 0.3149653673171997, 0.3141824007034302, 0.3137325048446655]",0.995
3,80,32,"[1.0431921482086182, 0.7563316822052002, 0.7987616062164307, 0.7013145685195923, 0.907193660736084, 0.7020143866539001, 0.7024598121643066, 0.6986415982246399, 0.6955875754356384, 0.6936309337615967]",0.925
3,160,2,"[0.774419367313385, 0.7310150265693665, 0.7135068774223328, 0.7050618529319763, 0.6997895836830139, 0.6972626447677612, 0.6956628561019897, 0.6947987675666809, 0.6942135691642761, 0.6938636302947998]",0.925
3,160,4,"[0.8263337016105652, 0.8308399319648743, 0.7425597310066223, 0.7156139612197876, 0.7063323855400085, 0.6984928846359253, 0.6951930522918701, 0.6938797831535339, 0.6936416029930115, 0.6936300992965698]",0.985
3,160,8,"[0.41545209288597107, 0.38497447967529297, 0.36821725964546204, 0.3474714756011963, 0.33991169929504395, 0.33876317739486694, 0.33302760124206543, 0.3279086947441101, 0.3319421410560608, 0.33010751008987427]",0.945
3,160,16,"[0.710129976272583, 0.6986014246940613, 0.6951029300689697, 0.6940682530403137, 0.7089385390281677, 0.6946024894714355, 0.6938469409942627, 0.6936056017875671, 0.6934764981269836, 0.6933984160423279]",0.81
3,160,32,"[0.8579549789428711, 0.8152329921722412, 0.9144808053970337, 0.8551769256591797, 0.7118648886680603, 0.7018852233886719, 0.6962526440620422, 0.7197646498680115, 0.7757177352905273, 0.7450242042541504]",0.91
4,5,2,"[0.8748259544372559, 0.8907732963562012, 0.900415301322937, 0.89607834815979, 0.8942087292671204, 0.8826504945755005, 0.8722366690635681, 0.868614912033081, 0.8562101125717163, 0.8364163637161255]",0.945
4,5,4,"[0.4929003119468689, 0.3790106177330017, 0.3803708553314209, 0.32670485973358154, 0.32574644684791565, 0.3884330689907074, 0.3194350004196167, 0.31791970133781433, 0.3170652389526367, 0.3172251582145691]",0.985
4,5,8,"[0.3421877920627594, 0.33148133754730225, 0.3169504702091217, 0.3156461715698242, 0.3147681951522827, 0.3140994906425476, 0.3144899606704712, 0.31530651450157166, 0.31387707591056824, 0.3136233389377594]",0.995
4,5,16,"[0.6996891498565674, 0.694674551486969, 0.6956433653831482, 0.7125065326690674, 0.6936190724372864, 0.6932070255279541, 0.693209171295166, 0.6932024359703064, 0.6931719779968262, 0.6945691704750061]",1.0
4,5,32,"[0.6974183917045593, 0.6973523497581482, 0.6947751045227051, 0.6933241486549377, 0.6932410001754761, 0.6932027339935303, 0.6931664347648621, 0.6931735277175903, 0.6931574940681458, 0.6931566596031189]",0.995
4,10,2,"[0.38457247614860535, 0.3752090036869049, 0.3675864338874817, 0.36025333404541016, 0.3540392518043518, 0.34957608580589294, 0.3458503186702728, 0.343027800321579, 0.3394518494606018, 0.3353753983974457]",0.94
4,10,4,"[1.0759632587432861, 1.0293164253234863, 0.868161678314209, 0.865526020526886, 0.7674442529678345, 0.7735969424247742, 0.7413673996925354, 0.7251959443092346, 0.7124853730201721, 0.7025982141494751]",0.94
4,10,8,"[0.8049211502075195, 0.7139620184898376, 0.7009848952293396, 0.6965871453285217, 0.694902777671814, 0.6942323446273804, 0.6937957406044006, 0.6935684680938721, 0.693504273891449, 0.6934234499931335]",0.985
4,10,16,"[0.35512760281562805, 0.34159570932388306, 0.32836034893989563, 0.3195536732673645, 0.31722864508628845, 0.3170328736305237, 0.316886305809021, 0.3143201172351837, 0.31381314992904663, 0.3138086199760437]",1.0
4,10,32,"[0.7840757369995117, 0.8200938701629639, 0.7205286622047424, 0.7169488668441772, 0.7113058567047119, 0.705703616142273, 0.6954695582389832, 0.6946983933448792, 0.693691611289978, 0.6941011548042297]",0.995
4,20,2,"[0.575668215751648, 0.5880798697471619, 0.5817455649375916, 0.4221855103969574, 0.37194859981536865, 0.35615062713623047, 0.3464035391807556, 0.3404933214187622, 0.333614706993103, 0.32924962043762207]",0.975
4,20,4,"[0.35740068554878235, 0.3412034809589386, 0.3540523946285248, 0.33068570494651794, 0.3256932497024536, 0.318941205739975, 0.3168323040008545, 0.3154217302799225, 0.3152998089790344, 0.3155364394187927]",0.995
4,20,8,"[0.3925160765647888, 0.360956609249115, 0.340058833360672, 0.32340505719184875, 0.3190236985683441, 0.3183025121688843, 0.3162839412689209, 0.3161683678627014, 0.31653204560279846, 0.3158949613571167]",1.0
4,20,16,"[1.0633718967437744, 0.7348439693450928, 0.7053943276405334, 0.6961508393287659, 0.6947333216667175, 0.69370436668396, 0.6934899091720581, 0.6933031678199768, 0.693230152130127, 0.6931762099266052]",0.975
4,20,32,"[0.36565467715263367, 0.35355889797210693, 0.32676994800567627, 0.32003679871559143, 0.3165118992328644, 0.315229207277298, 0.3152620792388916, 0.314221054315567, 0.3138977289199829, 0.3138777017593384]",0.985
4,40,2,"[0.8326627016067505, 0.7952815890312195, 0.7673758268356323, 0.7463314533233643, 0.7308310270309448, 0.7198117971420288, 0.7120503187179565, 0.7068101763725281, 0.7027011513710022, 0.7000870704650879]",0.73
4,40,4,"[0.7394081354141235, 0.71822190284729, 0.7046902179718018, 0.6996511220932007, 0.6971762776374817, 0.6955874562263489, 0.694847047328949, 0.6943215131759644, 0.6939546465873718, 0.6937212347984314]",0.905
4,40,8,"[0.7947567105293274, 0.7595837116241455, 0.7771302461624146, 0.7689031362533569, 0.7480499148368835, 0.7228697538375854, 0.7163432240486145, 0.7065644860267639, 0.7055311799049377, 0.7277936935424805]",0.78
4,40,16,"[0.36036667227745056, 0.400908887386322, 0.36216408014297485, 0.38676559925079346, 0.33511537313461304, 0.32858598232269287, 0.32320258021354675, 0.3166778087615967, 0.3149702250957489, 0.3149734437465668]",0.995
4,40,32,"[0.3632749617099762, 0.345978707075119, 0.33178552985191345, 0.45531874895095825, 0.3263065814971924, 0.31820565462112427, 0.32224467396736145, 0.31515002250671387, 0.31474295258522034, 0.31408897042274475]",0.995
4,80,2,"[0.4331279397010803, 0.4101701080799103, 0.3871261179447174, 0.3799014091491699, 0.3668556809425354, 0.361950546503067, 0.3493342399597168, 0.343395471572876, 0.343124657869339, 0.3373633325099945]",0.91
4,80,4,"[1.0190434455871582, 1.0572699308395386, 0.8649047017097473, 0.7370792031288147, 0.7285288572311401, 0.7489042282104492, 0.727971613407135, 0.7092987895011902, 0.6992764472961426, 0.6969837546348572]",0.945
4,80,8,"[0.8209721446037292, 0.7372555732727051, 0.7176302075386047, 0.7091735005378723, 0.708864688873291, 0.7015895247459412, 0.6993836760520935, 0.6984165906906128, 0.7013412117958069, 0.7211610078811646]",0.91
4,80,16,"[0.33472180366516113, 0.32675325870513916, 0.3416968584060669, 0.3180691599845886, 0.32358604669570923, 0.3175341486930847, 0.31905972957611084, 0.3152415454387665, 0.31502512097358704, 0.31474947929382324]",1.0
4,80,32,"[0.7517826557159424, 0.7186592221260071, 0.7559977769851685, 0.7051874995231628, 0.7029675245285034, 0.7274969816207886, 1.0073890686035156, 1.268426537513733, 0.8174891471862793, 0.7850058078765869]",0.915
4,160,2,"[0.9963588714599609, 1.009108304977417, 1.0299540758132935, 1.0781012773513794, 1.1001566648483276, 1.1326258182525635, 1.1536433696746826, 1.161030650138855, 1.1931817531585693, 1.1990587711334229]",0.855
4,160,4,"[0.5119636058807373, 0.6007351875305176, 0.52877277135849, 0.6619160175323486, 0.6640139818191528, 0.6483462452888489, 0.4256313443183899, 0.34823933243751526, 0.39417222142219543, 0.3488801419734955]",0.935
4,160,8,"[0.8863803744316101, 0.9015098214149475, 1.266373872756958, 0.7093703150749207, 0.7012678384780884, 0.6976491808891296, 0.6954393982887268, 0.6946524381637573, 0.6941362619400024, 0.6938210129737854]",0.995
4,160,16,"[0.38928359746932983, 0.4349927008152008, 0.35960015654563904, 0.5477816462516785, 0.5002992749214172, 0.5735581517219543, 0.6362505555152893, 0.40692150592803955, 0.43966397643089294, 0.5483469367027283]",0.575
4,160,32,"[0.91045081615448, 0.9509305953979492, 0.9309248924255371, 0.9768573641777039, 0.9503880143165588, 0.8477070331573486, 0.8424506187438965, 0.8259450197219849, 0.7832908630371094, 0.8855748176574707]",0.755
5,5,2,"[0.3870406150817871, 0.37310588359832764, 0.36119088530540466, 0.35022279620170593, 0.3429839015007019, 0.33503276109695435, 0.32905498147010803, 0.3267548978328705, 0.32575443387031555, 0.3227200210094452]",0.995
5,5,4,"[0.47373321652412415, 0.44667673110961914, 0.4254629611968994, 0.40877625346183777, 0.3965660035610199, 0.38964393734931946, 0.38761189579963684, 0.40854257345199585, 0.3915961682796478, 0.3915126919746399]",0.98
5,5,8,"[0.8250148296356201, 0.7378488779067993, 0.7132118940353394, 0.7002554535865784, 0.6993401050567627, 0.6960110664367676, 0.6960611343383789, 0.6946280002593994, 0.6945318579673767, 0.693968653678894]",0.995
5,5,16,"[0.7965803146362305, 0.7353783845901489, 0.7179014086723328, 0.7042641043663025, 0.697708785533905, 0.6962661743164062, 0.6956037282943726, 0.697710394859314, 0.7037387490272522, 0.6966145038604736]",0.745
5,5,32,"[0.7001529932022095, 0.6947765946388245, 0.6939617395401001, 0.6940729022026062, 0.6934621334075928, 0.6936163306236267, 0.6932998895645142, 0.698675274848938, 0.693423867225647, 0.6986024975776672]",0.99
