Scale Factor,Sequence Length,Hidden Size,Loss Vector,Accuracy
3,10,16,"[0.6669003963470459, 0.6869653463363647, 0.4330631494522095, 0.6774404644966125, 0.31601682305336, 0.3150981068611145, 0.31448814272880554, 0.3140321969985962, 0.31378448009490967, 0.3135712444782257]",0.92
3,10,32,"[0.700596809387207, 0.6940799355506897, 0.6955795884132385, 0.693234920501709, 0.6956139802932739, 0.6933295130729675, 0.6932279467582703, 0.6931618452072144, 0.6931576728820801, 0.693164050579071]",0.915
3,20,2,"[0.5001354217529297, 0.545146107673645, 0.5776938199996948, 0.6027985215187073, 0.6218334436416626, 0.6363534331321716, 0.6473150253295898, 0.6556558609008789, 0.6620953679084778, 0.6671299338340759]",0.58
3,20,4,"[0.9560161828994751, 0.9127256274223328, 0.8790762424468994, 0.8518888354301453, 0.8248831033706665, 0.7879931926727295, 0.7545790672302246, 0.740568220615387, 0.7308070659637451, 0.7251656651496887]",0.535
3,20,8,"[0.5513542890548706, 0.6075476408004761, 0.6271718740463257, 0.6508651971817017, 0.6381920576095581, 0.6744765639305115, 0.666736364364624, 0.6759997606277466, 0.6805459260940552, 0.683983564376831]",0.59
3,20,16,"[0.6307970285415649, 0.45830038189888, 0.6248255372047424, 0.41534674167633057, 0.3581358790397644, 0.34209728240966797, 0.3328191936016083, 0.679359495639801, 0.6879949569702148, 0.6882619857788086]",0.49
3,20,32,"[0.7317324280738831, 1.1393018960952759, 1.1290318965911865, 0.8054803013801575, 0.6950798034667969, 0.6952010989189148, 0.7049962282180786, 0.6967542171478271, 0.6967287659645081, 0.6984061002731323]",0.455
3,40,2,"[0.8602787256240845, 0.8311419486999512, 0.8245102763175964, 0.8097130060195923, 0.766244113445282, 0.7428561449050903, 0.7378771305084229, 0.7333433628082275, 0.7284707427024841, 0.7233746647834778]",0.915
3,40,4,"[0.44666504859924316, 0.3916948735713959, 0.36862432956695557, 0.3458091616630554, 0.3339352011680603, 0.32709696888923645, 0.32335951924324036, 0.3207864761352539, 0.31901752948760986, 0.3178044855594635]",0.835
3,40,8,"[0.8705624341964722, 0.8422137498855591, 0.7905908226966858, 0.7354238033294678, 0.7345972657203674, 0.6995287537574768, 0.6959306597709656, 0.7636047005653381, 0.6940981149673462, 0.6938596963882446]",0.86
3,40,16,"[0.8657660484313965, 0.8815209865570068, 1.1430654525756836, 1.1337471008300781, 1.1868513822555542, 1.2497649192810059, 1.2877256870269775, 1.2903090715408325, 1.301656723022461, 1.3058080673217773]",0.855
3,40,32,"[0.39704185724258423, 0.32980284094810486, 0.31899017095565796, 0.31896623969078064, 0.3180168569087982, 0.3170168995857239, 0.31624969840049744, 0.31498023867607117, 0.314374715089798, 0.314084529876709]",0.915
3,80,2,"[0.5459204316139221, 0.43461740016937256, 0.378812313079834, 0.35291263461112976, 0.33910006284713745, 0.33109140396118164, 0.3260808289051056, 0.3228110074996948, 0.32054269313812256, 0.31895455718040466]",0.88
3,80,4,"[0.5935324430465698, 0.591067373752594, 0.564537525177002, 0.5364056825637817, 0.5102653503417969, 0.49012064933776855, 0.47277238965034485, 0.4518882930278778, 0.4534226655960083, 0.4645770788192749]",0.83
3,80,8,"[1.032647967338562, 0.7992337346076965, 0.7342341542243958, 0.7137282490730286, 0.7040733695030212, 0.6993865370750427, 0.6977618336677551, 0.6964630484580994, 0.6967200636863708, 0.6958842873573303]",0.87
3,80,16,"[0.37135130167007446, 0.3273213505744934, 0.3209405839443207, 0.3178158700466156, 0.316562294960022, 0.31624212861061096, 0.315451055765152, 0.6928274035453796, 0.6928367614746094, 0.6928738355636597]",0.495
3,80,32,"[0.5109844207763672, 0.3991852104663849, 0.34223467111587524, 0.3308297395706177, 0.3189663290977478, 0.31604087352752686, 0.3162517845630646, 0.31524527072906494, 0.32027626037597656, 0.31589391827583313]",0.84
3,160,2,"[0.8888518214225769, 0.8299967050552368, 0.7955027222633362, 0.7756829857826233, 0.7626029849052429, 0.7532739639282227, 0.7462797164916992, 0.7410062551498413, 0.7374228835105896, 0.7712777256965637]",0.845
3,160,4,"[0.5263367891311646, 0.543147087097168, 0.418254554271698, 0.36053699254989624, 0.3394516706466675, 0.3297935724258423, 0.3244350254535675, 0.32133054733276367, 0.31940019130706787, 0.3181205093860626]",0.805
3,160,8,"[0.8604291677474976, 0.8136371374130249, 0.7552159428596497, 0.7227446436882019, 0.7134473919868469, 0.7053383588790894, 0.7046390771865845, 0.7047471404075623, 0.7003968954086304, 0.6967717409133911]",0.895
3,160,16,"[0.38706710934638977, 0.5161077380180359, 0.4901210069656372, 0.3967348337173462, 0.5960502624511719, 0.48260340094566345, 0.3717487156391144, 0.3284538984298706, 0.32724589109420776, 0.3204805850982666]",0.84
3,160,32,"[0.8286466002464294, 0.7887533903121948, 0.7710460424423218, 0.7845497131347656, 0.7931703329086304, 0.825139582157135, 0.7872475385665894, 1.0449126958847046, 0.7456716895103455, 1.1403167247772217]",0.86
5,5,2,"[0.4474598169326782, 0.4673421084880829, 0.500505805015564, 0.5426689386367798, 0.5771832466125488, 0.5792617201805115, 0.589779257774353, 0.6099514365196228, 0.6243325471878052, 0.6329895257949829]",0.525
5,5,4,"[0.4057147800922394, 0.35512033104896545, 0.34546568989753723, 0.3361080586910248, 0.3316255211830139, 0.3287856876850128, 0.5769532918930054, 0.3208928406238556, 0.31739190220832825, 0.3163086175918579]",0.89
5,5,8,"[0.4402233064174652, 0.38985028862953186, 0.3689673840999603, 0.347046434879303, 0.3276892602443695, 0.31648775935173035, 0.3156375586986542, 0.31507933139801025, 0.3144858479499817, 0.3141583502292633]",0.885
5,5,16,"[0.8657374978065491, 0.7659173011779785, 0.7035109996795654, 0.6985825300216675, 0.7015167474746704, 0.7046719193458557, 0.6952297687530518, 0.6950674057006836, 0.6953637003898621, 0.6944253444671631]",0.47
5,5,32,"[0.7113494277000427, 0.6962206959724426, 0.6942986845970154, 0.6938456296920776, 0.6934894919395447, 0.6933923363685608, 0.6932958364486694, 0.6935116648674011, 0.6932871341705322, 0.6932225823402405]",0.93
5,10,2,"[0.50306236743927, 0.48962536454200745, 0.4741872549057007, 0.45831984281539917, 0.44361814856529236, 0.43148788809776306, 0.4225044846534729, 0.4138002097606659, 0.4049616754055023, 0.39953935146331787]",0.635
5,10,4,"[0.5362986326217651, 0.5714948773384094, 0.6082352995872498, 0.598060131072998, 0.5147659778594971, 0.6592874526977539, 0.6665146350860596, 0.37211886048316956, 0.3405475914478302, 0.3286939561367035]",0.945
5,10,8,"[1.0565752983093262, 1.1959031820297241, 1.2572847604751587, 1.2145559787750244, 1.282801628112793, 1.2988399267196655, 1.3022005558013916, 1.2956162691116333, 0.6936551928520203, 1.2991161346435547]",0.905
5,10,16,"[0.785565197467804, 0.7305471301078796, 0.7082456946372986, 0.7004044651985168, 0.6977075338363647, 0.6953306794166565, 0.6942393779754639, 0.6943728923797607, 0.6938990950584412, 0.6936103105545044]",0.905
5,10,32,"[0.708638072013855, 0.696833074092865, 0.6961132884025574, 0.6948127746582031, 0.6939980387687683, 0.6934483051300049, 0.6933332085609436, 0.6932613253593445, 0.6932401061058044, 0.6931988596916199]",0.94
5,20,2,"[0.4107288718223572, 0.41819146275520325, 0.4247678518295288, 0.4308895468711853, 0.43524986505508423, 0.4396098852157593, 0.44403359293937683, 0.4459691345691681, 0.4479774832725525, 0.45010411739349365]",0.585
5,20,4,"[0.905449390411377, 0.8843836188316345, 0.8137791752815247, 0.7734148502349854, 0.7512613534927368, 0.7474542856216431, 0.7387176752090454, 0.7358675003051758, 0.7287279367446899, 0.7229899764060974]",0.705
5,20,8,"[0.5845694541931152, 0.6097974181175232, 0.6228187680244446, 0.6374551653862, 0.6607895493507385, 0.665191113948822, 0.6584634780883789, 0.6502814292907715, 0.6685482859611511, 0.6523231267929077]",0.565
5,20,16,"[0.838205099105835, 0.8606944680213928, 0.8245068788528442, 0.7933003902435303, 0.7864989638328552, 0.8318732976913452, 0.7865059971809387, 0.7560120820999146, 0.699660062789917, 0.7055781483650208]",0.455
5,20,32,"[0.799685001373291, 0.7811822891235352, 0.8269350528717041, 0.8209059238433838, 0.7350358963012695, 0.7172935605049133, 0.7115929126739502, 0.6986983418464661, 0.7186132669448853, 0.6948994398117065]",0.565
5,40,2,"[0.8535169363021851, 0.8189464211463928, 0.7961347699165344, 0.780068039894104, 0.7680994272232056, 0.7587961554527283, 0.7513118982315063, 0.7451836466789246, 0.7400908470153809, 0.7357388138771057]",0.485
5,40,4,"[0.886293351650238, 0.7956081628799438, 0.7617099285125732, 0.7362728714942932, 0.7228631377220154, 0.7145740985870361, 0.7093151807785034, 0.7055081129074097, 0.7021805047988892, 0.7002443671226501]",0.83
5,40,8,"[0.37558984756469727, 0.3524371087551117, 0.33869436383247375, 0.3303249776363373, 0.32590392231941223, 0.32291993498802185, 0.32035717368125916, 0.3199247717857361, 0.3212704658508301, 0.318588525056839]",0.875
5,40,16,"[0.9538248777389526, 0.8699721097946167, 0.9215999841690063, 0.7895493507385254, 0.9790570735931396, 0.9355522394180298, 0.9338611364364624, 0.9107784032821655, 0.9476014375686646, 0.8993642330169678]",0.525
5,40,32,"[0.5675786733627319, 0.4407697319984436, 0.3581145405769348, 0.3359707295894623, 0.32639381289482117, 0.322960764169693, 0.3171272277832031, 0.3192293643951416, 0.31478941440582275, 0.3172907829284668]",0.81
5,80,2,"[0.4952426254749298, 0.4552263617515564, 0.42781493067741394, 0.3817625045776367, 0.3502098619937897, 0.33849450945854187, 0.33207249641418457, 0.32803741097450256, 0.32535216212272644, 0.32311680912971497]",0.845
5,80,4,"[0.5059082508087158, 0.5519397258758545, 0.580499529838562, 0.6009393930435181, 0.6164485812187195, 0.6274917721748352, 0.6366373300552368, 0.6438024044036865, 0.6497678160667419, 0.6546691656112671]",0.535
5,80,8,"[0.45881888270378113, 0.42123469710350037, 0.37253692746162415, 0.37063464522361755, 0.395866721868515, 0.5222015380859375, 0.43353787064552307, 0.4104214608669281, 0.4086613357067108, 0.4023111164569855]",0.785
5,80,16,"[0.7951697111129761, 0.831916332244873, 0.7552696466445923, 0.7581685781478882, 0.7707944512367249, 0.8902205228805542, 0.8529800176620483, 0.765255331993103, 0.7812097668647766, 0.7121226191520691]",0.695
5,80,32,"[0.7597920894622803, 0.7385420203208923, 0.746166467666626, 0.7587662935256958, 0.7666823267936707, 0.7341485023498535, 0.8904008865356445, 0.7821431756019592, 0.8204718828201294, 0.7961711287498474]",0.52
5,160,2,"[0.950668454170227, 0.9981820583343506, 1.0115997791290283, 1.0323067903518677, 1.0975487232208252, 0.775524914264679, 0.7538355588912964, 0.7407827377319336, 0.7308894395828247, 0.7231606841087341]",0.82
5,160,4,"[0.8387694954872131, 0.7673212289810181, 0.7465066909790039, 0.7179871797561646, 0.7048529982566833, 0.6993355751037598, 0.6967564821243286, 0.6955088973045349, 0.6948175430297852, 0.6944572329521179]",0.87
5,160,8,"[0.8169777989387512, 0.7653617262840271, 0.7457343339920044, 0.7442070245742798, 0.7292734980583191, 0.7291772365570068, 0.7222164869308472, 0.8533425331115723, 0.9271892309188843, 0.9126983880996704]",0.49
5,160,16,"[0.4494614005088806, 0.519225001335144, 0.48964041471481323, 0.46836012601852417, 0.60419762134552, 0.4949944317340851, 0.5127140283584595, 0.5583826899528503, 0.5531608462333679, 0.5795617699623108]",0.48
5,160,32,"[0.9075450897216797, 0.9814119935035706, 0.9007037878036499, 0.8465129137039185, 0.9718842506408691, 0.9506557583808899, 0.8985792398452759, 0.93818199634552, 0.996654212474823, 0.8434191346168518]",0.77
9,5,2,"[0.969089150428772, 0.926095724105835, 0.9031944274902344, 0.8881439566612244, 0.8566421866416931, 0.8182876110076904, 0.8111897110939026, 0.7941346168518066, 0.7835697531700134, 0.751072883605957]",0.465
9,5,4,"[0.5684381723403931, 0.5713517069816589, 0.5579707026481628, 0.5351396799087524, 0.5084836483001709, 0.5115009546279907, 0.5041524171829224, 0.5057073831558228, 0.516322135925293, 0.4884181618690491]",0.815
9,5,8,"[0.9371466636657715, 0.838793933391571, 0.7782204151153564, 0.7064884305000305, 0.7023820281028748, 0.7010587453842163, 0.7030364274978638, 0.6954299211502075, 0.6949909925460815, 0.6944683790206909]",0.92
9,5,16,"[0.9099496603012085, 0.7350359559059143, 0.7553195357322693, 0.7608376145362854, 0.6997486352920532, 0.695536196231842, 0.7133755087852478, 0.702867329120636, 0.7018699645996094, 0.6937233209609985]",0.94
9,5,32,"[0.7749327421188354, 0.6971723437309265, 0.6987687349319458, 0.6953715682029724, 0.6940903067588806, 0.6936665773391724, 0.6935034990310669, 0.6934270858764648, 0.6933653950691223, 0.693240761756897]",0.93
9,10,2,"[0.5196555852890015, 0.5488340258598328, 0.5678192377090454, 0.6277077198028564, 0.6351110339164734, 0.6417549252510071, 0.6475256681442261, 0.6524273753166199, 0.6564179062843323, 0.6581872701644897]",0.465
9,10,4,"[0.5341218709945679, 0.4005582630634308, 0.3779072165489197, 0.358925998210907, 0.3469262719154358, 0.39571449160575867, 0.3347978889942169, 0.3318421542644501, 0.3568592965602875, 0.3293686509132385]",0.85
9,10,8,"[0.5490967035293579, 0.38243982195854187, 0.5937827229499817, 0.634143590927124, 0.6041361093521118, 0.6499857902526855, 0.6797653436660767, 0.683765709400177, 0.6673775315284729, 0.3220289945602417]",0.77
9,10,16,"[0.9687772989273071, 0.9237361550331116, 0.8373857736587524, 0.8194012641906738, 0.7975517511367798, 0.8251954317092896, 0.775836169719696, 0.9615956544876099, 0.8478966355323792, 0.7729554176330566]",0.68
