Scale Factor,Sequence Length,Hidden Size,Loss Vector,Accuracy
9,20,32,"[0.853238582611084, 0.7333856821060181, 0.7982616424560547, 1.0034728050231934, 1.2759699821472168, 0.9046345949172974, 0.6961065530776978, 0.7010371088981628, 0.7257966995239258, 0.787070095539093]",0.825
9,40,2,"[0.8767332434654236, 0.8291105031967163, 0.7910139560699463, 0.7685046195983887, 0.7522387504577637, 0.7399660348892212, 0.7149177193641663, 0.7285642623901367, 0.7266277074813843, 0.7272790670394897]",0.96
9,40,4,"[1.0311098098754883, 0.8871549367904663, 0.9383721351623535, 1.0797979831695557, 0.9407328367233276, 0.8821498155593872, 0.8822669982910156, 0.9020508527755737, 0.917526364326477, 1.2149429321289062]",0.865
9,40,8,"[0.5148705244064331, 0.5516692399978638, 0.5088269710540771, 0.5609572529792786, 0.5640076398849487, 0.6250861883163452, 0.6232808828353882, 0.6559107899665833, 0.5572980642318726, 0.47168195247650146]",0.62
9,40,16,"[1.1058486700057983, 1.0651991367340088, 0.9576964974403381, 0.7724213004112244, 1.1233370304107666, 0.7278552055358887, 0.8493301272392273, 0.8539053797721863, 1.0200144052505493, 1.028705358505249]",0.655
9,40,32,"[0.3992482125759125, 0.3370099663734436, 0.3906109631061554, 0.35218945145606995, 0.43079689145088196, 0.41170260310173035, 0.4625699818134308, 0.646744966506958, 0.38234442472457886, 0.4874798357486725]",0.73
9,80,2,"[1.0594698190689087, 1.0622062683105469, 1.0787124633789062, 1.100853681564331, 1.1241976022720337, 1.1472529172897339, 1.169323444366455, 1.1889530420303345, 1.2064721584320068, 1.2217077016830444]",0.77
9,80,4,"[0.3626531958580017, 0.3359927833080292, 0.32696038484573364, 0.3225148916244507, 0.3199269473552704, 0.3190382421016693, 0.31811466813087463, 0.3172825276851654, 0.31844115257263184, 0.3348947763442993]",0.99
9,80,8,"[1.0877830982208252, 1.1539337635040283, 0.7573580741882324, 1.136716365814209, 0.8037064075469971, 0.7087161540985107, 0.7053295969963074, 0.7022910714149475, 0.7018578052520752, 0.7041391730308533]",0.785
9,80,16,"[0.95643150806427, 0.9947294592857361, 0.8092037439346313, 0.7762573957443237, 0.7457147836685181, 0.775460958480835, 0.7461853623390198, 0.7564651966094971, 0.8582286238670349, 0.7209491729736328]",0.595
9,80,32,"[0.4669404923915863, 0.45456603169441223, 0.3569711744785309, 0.46161511540412903, 0.4151684045791626, 0.32715263962745667, 0.3855811655521393, 0.4136445224285126, 0.31633883714675903, 0.4363788664340973]",0.82
9,160,2,"[0.38809818029403687, 0.36394670605659485, 0.355099081993103, 0.3511466681957245, 0.34530070424079895, 0.34102746844291687, 0.3409416675567627, 0.3340999484062195, 0.33126240968704224, 0.3279222548007965]",0.91
9,160,4,"[0.4086866080760956, 0.37206241488456726, 0.3521568179130554, 0.3451799750328064, 0.3322848379611969, 0.32843056321144104, 0.3345174193382263, 0.3222101330757141, 0.3201714754104614, 0.31770169734954834]",0.97
9,160,8,"[0.8221077919006348, 0.7684813737869263, 0.8324947953224182, 0.8864715099334717, 0.9767877459526062, 1.0317225456237793, 1.0866434574127197, 1.0916008949279785, 1.1268922090530396, 1.161506175994873]",0.715
9,160,16,"[0.5082457065582275, 0.38867393136024475, 0.38824743032455444, 0.3839462101459503, 0.3840414583683014, 0.48189908266067505, 0.44965410232543945, 0.36501115560531616, 0.39618346095085144, 0.36914029717445374]",0.59
9,160,32,"[0.5347278118133545, 0.4922322630882263, 0.5540163516998291, 0.405102401971817, 0.39365607500076294, 0.4445972144603729, 0.567966103553772, 0.5084447860717773, 0.5007187128067017, 0.5781949162483215]",0.72
10,5,2,"[0.9104238748550415, 0.8815827369689941, 0.841163158416748, 0.8027377724647522, 0.7734800577163696, 0.7534184455871582, 0.7388357520103455, 0.7280471920967102, 0.7210140228271484, 0.7156727313995361]",0.725
10,5,4,"[0.5666131377220154, 0.426228404045105, 0.4078989326953888, 0.3964150846004486, 0.38402992486953735, 0.37140408158302307, 0.3640459179878235, 0.35406211018562317, 0.3485082685947418, 0.34122347831726074]",0.975
10,5,8,"[0.34885120391845703, 0.3357844054698944, 0.32884034514427185, 0.32487428188323975, 0.32170116901397705, 0.3188980519771576, 0.3174731433391571, 0.3171367049217224, 0.3166889250278473, 0.31668326258659363]",0.99
10,5,16,"[0.9175046682357788, 0.8011869788169861, 0.6948272585868835, 0.6942304372787476, 0.6935845613479614, 0.6932764649391174, 0.6931884288787842, 0.693176805973053, 0.6931644082069397, 0.6931592226028442]",0.99
